id,OVD_t1,OVD_t2,OVD_t3,OVD_sum,pay_normal,prod_code,prod_limit,new_balance,highest_balance,label,fea_1,fea_2,fea_3,fea_4,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10,fea_11,update_year,update_month,update_day,report_year,report_month,report_day
54991294,0,0,0,0,1,0,85789.7012195122,48000.0,40500.0,0,4,1256.0,3,101000.0,2,8,9,110,5,60084,1.0,2016,11,4,2013,6,17
58994986,0,0,0,0,1,10,51700.0,1352.4,219202.72592781534,0,7,1298.0,1,128000.0,2,11,5,92,5,151300,173.20508080000002,2016,11,3,2013,6,17
59001751,0,0,0,0,2,10,108900.0,6094.8,101068.0,0,4,1346.0,1,102000.0,2,8,-1,100,5,60095,200.0,2016,11,2,2016,3,22
58992344,0,0,0,0,1,10,27500.0,0.0,219202.72592781534,0,7,1296.0,3,80000.0,2,11,5,112,3,60069,1.0,2016,11,1,2013,6,17
54987871,0,0,0,0,5,5,85789.7012195122,204909.6,180500.0,0,7,1226.0,3,64000.0,2,11,5,103,3,72000,1.0,2016,11,1,2016,4,22
58991158,0,0,0,0,2,0,85789.7012195122,17556.0,21400.0,1,7,1205.0,3,77000.0,2,11,-1,85,5,151300,273.86127880000004,2016,11,1,2013,6,17
59001138,0,0,0,0,2,0,85789.7012195122,24000.0,30500.0,0,4,1286.1657435613404,2,100000.0,2,8,9,99,5,71003,199.9749984,2016,11,1,2013,6,17
59004654,0,0,0,0,1,10,129800.0,17748.0,15290.0,0,4,1352.0,1,168000.0,2,8,5,105,3,60017,223.6067977,2016,10,5,2013,6,17
59003954,0,0,0,0,1,5,85789.7012195122,355164.0,295500.0,0,4,1322.0,1,104000.0,2,8,5,114,3,60019,212.1320344,2016,10,4,2013,6,17
58987402,0,0,0,0,1,0,85789.7012195122,42000.0,35500.0,0,5,1241.0,3,62000.0,2,15,9,95,4,60023,1.0,2016,10,4,2013,6,17
58996773,0,0,0,0,2,1,85789.7012195122,137853.6,115378.0,0,7,1214.0,3,74000.0,2,11,5,110,4,60058,204.9390153,2016,10,4,2013,6,17
58994744,0,0,0,0,2,10,105600.0,1.2,3766.0,1,7,1332.0,1,141000.0,2,11,5,109,5,72412,1.0,2016,10,3,2016,12,4
54992094,0,0,0,0,2,6,85789.7012195122,25182.0,21485.0,0,4,1296.0,1,127000.0,2,8,5,107,3,60019,1.0,2016,10,3,2013,6,17
58986751,0,0,0,0,1,5,85789.7012195122,60000.0,50500.0,0,5,1286.1657435613404,2,82000.0,2,15,5,106,5,60058,1.0,2016,10,2,2013,6,17
58987276,0,0,0,0,3,7,85789.7012195122,540000.0,460500.0,0,5,1286.1657435613404,3,50000.0,2,15,9,110,5,450080,194.9358869,2016,10,2,2016,3,19
59005254,0,0,0,0,5,10,85789.7012195122,2496.0,19187.0,0,4,1314.0,1,89000.0,2,8,-1,100,5,60017,1.0,2016,10,1,2016,5,16
54991896,0,0,0,0,1,6,85789.7012195122,21600.0,27500.0,1,4,1328.0,1,150000.0,2,8,5,107,3,332414,1.0,2016,9,5,2013,6,17
54988051,0,0,0,0,1,10,116600.0,32210.4,27341.0,1,7,1266.0,1,103000.0,2,11,5,89,5,60061,1.0,2016,9,4,2013,6,17
58988092,0,0,0,0,2,5,85789.7012195122,180000.0,150500.0,0,5,1270.0,1,114000.0,2,15,5,83,3,450058,141.4213562,2016,9,4,2013,6,17
58995877,0,0,0,0,2,0,85789.7012195122,14616.0,17900.0,1,7,1277.0,3,132000.0,2,11,9,80,5,60016,1.0,2016,9,4,2013,6,17
58995877,0,0,0,0,2,0,85789.7012195122,1798.8,1999.0,1,7,1277.0,3,132000.0,2,11,9,80,5,60016,1.0,2016,9,4,2013,6,17
54988154,0,0,0,0,1,10,85789.7012195122,25921.2,22101.0,1,7,1286.1657435613404,2,56000.0,2,11,5,113,3,366001,165.9307084,2016,9,4,2013,6,17
58994035,0,0,0,0,1,10,57200.0,15753.6,13627.0,0,7,1302.0,1,110000.0,2,11,5,108,4,151002,1.0,2016,9,3,2013,6,17
58993990,0,0,0,0,1,24,85789.7012195122,360000.0,300500.0,1,7,1264.0,3,53000.0,2,11,5,111,5,60095,1.0,2016,9,3,2013,6,17
58994019,0,0,0,0,2,0,85789.7012195122,21831.6,26490.0,0,7,1286.1657435613404,3,156000.0,2,11,5,84,5,450069,165.8312395,2016,9,3,2013,6,17
54992357,0,0,0,0,3,10,104500.0,92110.8,77258.0,0,4,1258.0,3,81000.0,2,8,8,107,4,72001,1.0,2016,9,2,2016,4,5
54984524,0,0,0,0,2,10,100100.0,70514.4,59262.0,0,5,1350.0,1,155000.0,2,15,8,104,5,60004,1.0,2016,9,2,2013,6,17
59001175,0,0,0,0,1,10,63800.0,2050.8,2208.0,0,4,1292.0,1,117000.0,2,8,5,99,5,60052,200.0,2016,9,2,2013,6,17
58994856,0,0,0,0,3,10,58300.0,13995.6,53414.0,1,7,1216.0,3,60000.0,2,11,-1,112,4,450081,158.11388300000002,2016,9,2,2016,4,20
54992357,0,0,0,0,3,10,85789.7012195122,0.0,15046.0,0,4,1258.0,3,81000.0,2,8,8,107,4,72001,1.0,2016,9,2,2016,11,3
59005571,0,0,0,0,4,10,85789.7012195122,14786.4,22327.0,1,4,1241.0,3,60000.0,2,8,5,107,3,151300,187.08286930000003,2016,9,2,2016,8,5
58982387,0,0,0,0,2,10,110000.0,26428.8,27303.0,0,1,1217.0,2,300000.0,2,4,-1,79,5,550007,1.0,2016,9,1,2013,6,17
58996590,0,0,0,0,2,2,85789.7012195122,1547596.8,1296347.0,0,7,1288.0,1,152000.0,2,11,5,108,5,151300,1.0,2016,9,1,2013,6,17
58994986,0,0,0,0,4,5,85789.7012195122,213292.8,183500.0,0,7,1298.0,1,128000.0,2,11,5,92,5,151300,173.20508080000002,2016,9,1,2016,3,25
59005708,0,0,0,0,1,1,85789.7012195122,513638.4,428532.0,0,4,1356.0,1,148000.0,2,8,5,83,3,60001,1.0,2016,8,5,2013,6,17
59005099,0,0,0,0,2,0,85789.7012195122,24000.0,30500.0,0,4,1304.0,1,100000.0,2,8,-1,113,3,350098,158.11388300000002,2016,8,4,2013,6,17
58993461,0,0,0,0,2,10,85789.7012195122,3356.4,3297.0,0,7,1286.1657435613404,3,50000.0,2,12,-1,114,4,335534,188.769701,2016,8,3,2013,6,17
58995151,0,0,0,0,2,6,85789.7012195122,16848.0,14540.0,1,7,1286.1657435613404,2,126000.0,2,11,9,115,4,450028,224.2676972,2016,8,3,2013,6,17
58992482,0,0,0,0,1,10,85800.0,38505.6,32587.0,0,7,1286.1657435613404,2,51000.0,2,11,5,110,4,550013,182.7977024,2016,8,2,2016,2,26
58991158,0,0,0,0,1,10,82500.0,81030.0,68025.0,1,7,1205.0,3,77000.0,2,11,-1,85,5,151300,273.86127880000004,2016,8,2,2013,6,17
54987053,0,0,0,0,2,0,85789.7012195122,2325.6,2681.0,0,7,1246.0,3,58000.0,2,11,5,85,5,60024,1.0,2016,8,2,2013,6,17
58993992,0,0,0,0,1,10,85789.7012195122,18000.0,15500.0,0,7,1266.0,3,89000.0,2,11,5,89,3,60091,1.0,2016,8,2,2013,6,17
54987053,0,0,0,0,2,0,85789.7012195122,48000.0,50500.0,0,7,1246.0,3,58000.0,2,11,5,85,5,60024,1.0,2016,8,2,2013,6,17
59001951,0,0,0,0,2,6,85789.7012195122,29748.0,43000.0,0,4,1288.0,1,112000.0,2,8,5,90,3,330015,1.0,2016,8,2,2013,6,17
59003535,0,0,0,0,3,6,85789.7012195122,23328.0,35500.0,0,4,1286.1657435613404,2,139000.0,2,8,5,111,3,60036,1.0,2016,8,1,2016,2,21
58986444,0,0,0,0,2,10,85789.7012195122,0.0,3549.0,0,5,1319.0,3,15000.0,2,15,5,114,3,450069,158.11388300000002,2016,8,1,2016,9,2
58987491,0,0,0,0,2,10,127600.0,46910.4,49591.0,0,5,1241.0,3,84000.0,2,15,5,87,3,60074,1.0,2016,7,3,2016,4,16
59003268,0,0,0,0,2,6,85789.7012195122,13945.2,12121.0,1,4,1282.0,3,95000.0,1,8,5,93,5,60047,173.20508080000002,2016,7,3,2013,6,17
58988166,0,0,0,0,3,10,85789.7012195122,5451.6,16150.0,0,5,1361.0,1,101000.0,2,15,9,115,3,60052,187.08286930000003,2016,7,3,2016,5,18
54984727,0,0,0,0,2,13,85789.7012195122,46431.6,41100.0,0,5,1312.0,1,167000.0,2,15,5,85,5,60058,1.0,2016,7,3,2016,3,26
54988259,0,0,0,0,3,10,70400.0,39973.2,34710.0,0,7,1218.0,3,67000.0,1,11,5,114,4,72000,237.0442997,2016,7,2,2016,7,5
58995813,0,0,0,0,4,6,85789.7012195122,7200.0,12500.0,0,7,1230.0,3,57000.0,2,11,9,108,4,450015,170.29386369999995,2016,7,2,2016,4,22
59003975,0,0,0,0,1,10,182600.0,24327.6,20773.0,0,4,1364.0,1,200000.0,2,8,5,90,3,60022,212.1320344,2016,7,1,2013,6,17
54988427,0,0,0,0,5,6,85789.7012195122,32262.0,44500.0,0,7,1236.0,1,150000.0,2,11,9,110,4,450000,212.1320344,2016,7,1,2016,4,22
54987715,0,0,0,0,4,6,85789.7012195122,27679.2,29334.0,0,7,1286.1657435613404,2,76000.0,2,11,-1,92,5,60000,1.0,2016,7,1,2016,2,4
54988259,0,0,0,0,1,6,85789.7012195122,9998.4,13000.0,0,7,1218.0,3,67000.0,1,11,5,114,4,72000,237.0442997,2016,6,5,2013,6,17
54992448,0,0,0,0,1,5,85789.7012195122,180000.0,150500.0,0,7,1350.0,1,137000.0,2,11,5,100,3,60048,178.8854382,2016,6,5,2013,6,17
54988259,0,0,0,0,1,6,85789.7012195122,14400.0,18500.0,0,7,1218.0,3,67000.0,1,11,5,114,4,72000,237.0442997,2016,6,5,2013,6,17
59003000,0,0,0,0,1,10,69300.0,39766.8,33639.0,0,4,1294.0,1,149000.0,2,8,-1,96,3,60023,1.0,2016,6,4,2013,6,17
59006139,0,0,0,0,2,10,85789.7012195122,27901.2,23751.0,0,6,1241.0,1,74000.0,2,6,-1,105,3,60027,200.0,2016,6,4,2016,9,5
58994468,0,0,0,0,1,13,85789.7012195122,47875.2,42500.0,0,7,1283.0,3,100000.0,2,11,5,95,3,332444,1.0,2016,6,4,2013,6,17
58993373,0,0,0,0,1,6,85789.7012195122,11116.8,14400.0,1,7,1300.0,1,135000.0,2,11,5,87,3,350705,187.08286930000003,2016,6,4,2013,6,17
58988028,0,0,0,0,2,6,85789.7012195122,35868.0,30390.0,0,5,1288.0,1,126000.0,2,15,5,107,3,350071,316.22776600000003,2016,6,4,2013,6,17
58992868,0,0,0,0,1,10,68200.0,6244.8,5704.0,0,7,1316.0,1,117000.0,2,11,-1,110,5,361013,1.0,2016,6,3,2013,6,17
59005496,0,0,0,0,2,10,85789.7012195122,27297.6,23248.0,0,4,1298.0,1,35000.0,2,8,5,103,5,60028,200.0,2016,6,3,2016,4,27
58995303,0,0,0,0,3,10,82500.0,24252.0,50050.0,1,7,1304.0,1,113000.0,2,11,9,112,4,350078,264.5751311,2016,6,2,2016,9,4
59002619,0,0,0,0,1,10,61600.0,6177.6,5648.0,0,4,1223.0,3,100000.0,2,8,9,114,4,60000,1.0,2016,6,2,2013,6,17
58993467,0,0,0,0,2,10,44000.0,47262.0,39884.0,0,7,1258.0,3,95000.0,1,11,4,111,4,450015,244.94897430000003,2016,6,2,2016,2,28
58987077,0,0,0,0,2,10,33000.0,31924.8,27104.0,0,5,1270.0,1,77000.0,1,15,-1,84,5,450000,167.33200530000002,2016,6,2,2016,2,26
59004779,0,0,0,0,4,6,85789.7012195122,15120.0,21500.0,0,4,1277.0,1,113000.0,2,8,-1,100,3,341759,207.17384,2016,6,2,2016,4,19
54991585,0,0,0,0,3,10,85789.7012195122,0.0,219202.72592781534,0,4,1271.0,3,120000.0,2,8,5,89,3,60001,200.0,2016,6,2,2013,6,17
54984913,0,0,0,0,4,5,85789.7012195122,204925.2,179500.0,0,5,1229.0,3,50000.0,2,15,9,110,5,450071,200.0,2016,6,2,2016,3,20
58991158,0,0,0,0,1,10,85789.7012195122,28742.4,219202.72592781534,1,7,1205.0,3,77000.0,2,11,-1,85,5,151300,273.86127880000004,2016,6,2,2013,6,17
54987316,0,0,0,0,3,10,22000.0,21976.8,19800.0,0,7,1258.0,3,107000.0,2,11,5,113,4,450071,200.0,2016,6,1,2016,2,21
59005881,0,0,0,0,1,10,69300.0,685.2,1071.0,1,4,1286.1657435613404,2,94000.0,2,8,-1,113,4,72000,1.0,2016,5,31,2013,6,17
59005860,0,0,0,0,1,5,85789.7012195122,240000.0,200500.0,0,4,1256.0,1,68000.0,2,8,5,105,3,350058,163.86885,2016,5,28,2013,6,17
59005543,0,0,0,0,1,10,526900.0,288790.8,241159.0,1,4,1302.0,1,239000.0,1,8,5,100,3,60043,380.7886553,2016,5,17,2013,6,17
54984978,0,0,0,0,1,5,85789.7012195122,190800.0,159500.0,1,5,1286.1657435613404,2,58000.0,2,15,5,95,3,60075,212.1320344,2016,5,17,2013,6,17
58995877,0,0,0,0,1,10,55000.0,2050.8,2208.0,1,7,1277.0,3,132000.0,2,11,9,80,5,60016,1.0,2016,5,15,2013,6,17
58988092,0,0,0,0,1,6,85789.7012195122,37680.0,31900.0,0,5,1270.0,1,114000.0,2,15,5,83,3,450058,141.4213562,2016,5,15,2013,6,17
58988092,0,0,0,0,1,6,85789.7012195122,30000.0,25500.0,0,5,1270.0,1,114000.0,2,15,5,83,3,450058,141.4213562,2016,5,15,2013,6,17
58988287,0,0,0,0,1,10,99000.0,685.2,1071.0,0,5,1307.0,1,39000.0,2,15,9,114,4,450016,160.44625269999997,2016,5,14,2013,6,17
59005266,0,0,0,0,1,10,78100.0,4102.8,3918.0,0,4,1266.0,1,99000.0,2,8,5,86,3,72002,1.0,2016,5,14,2013,6,17
54988630,0,0,0,0,2,6,85789.7012195122,18973.2,20265.0,0,7,1330.0,1,115000.0,2,11,-1,86,3,341349,141.4213562,2016,5,13,2013,6,17
58995813,0,0,0,0,2,10,55000.0,4444.8,47225.0,0,7,1230.0,3,57000.0,2,11,9,108,4,450015,170.29386369999995,2016,5,4,2016,5,15
59001486,0,0,0,0,1,10,346500.0,2865.6,2888.0,0,4,1295.0,1,30000.0,2,8,-1,93,5,350052,316.22776600000003,2016,5,3,2013,6,17
54984810,0,0,0,0,2,10,66000.0,14347.2,16139.0,0,5,1241.0,3,60000.0,2,15,5,90,5,60000,200.0,2016,5,3,2016,9,4
54988422,0,0,0,0,3,10,33000.0,4760.4,4467.0,0,7,1289.0,1,144000.0,2,11,5,100,3,71000,200.0,2016,5,3,2016,4,15
58995594,0,0,0,0,3,10,85789.7012195122,1066.8,36632.0,0,7,1254.0,3,97000.0,2,11,5,83,3,60017,282.8427125,2016,5,3,2016,5,15
54988329,0,0,0,0,2,5,85789.7012195122,59666.4,67500.0,0,7,1216.0,3,67000.0,2,11,5,95,3,151306,134.95554819999998,2016,5,3,2016,10,4
54987215,0,0,0,0,2,6,85789.7012195122,17157.6,21950.0,0,7,1296.0,3,136000.0,2,11,5,115,4,71002,220.2271555,2016,5,3,2013,6,17
58996840,0,0,0,0,2,10,85789.7012195122,5821.2,5351.0,1,7,1241.0,3,55000.0,2,11,9,113,4,151300,212.1320344,2016,5,3,2016,7,5
59002016,0,0,0,0,1,10,85789.7012195122,684.0,1070.0,0,4,1196.0,3,65000.0,2,8,-1,108,4,72001,1.0,2016,5,3,2013,6,17
54984680,0,0,0,0,3,10,85789.7012195122,12396.0,8080.0,0,5,1170.0,3,100000.0,2,15,5,86,5,350092,200.0,2016,5,2,2016,9,4
59005303,0,0,0,0,4,10,85789.7012195122,35043.6,29703.0,0,4,1310.0,1,167000.0,2,8,9,105,3,151300,320.1202899,2016,5,2,2016,9,5
59001917,0,0,0,0,2,10,85789.7012195122,22764.0,19470.0,1,4,1304.0,3,35000.0,2,8,9,85,5,60069,1.0,2016,5,2,2016,11,2
59002945,0,0,0,0,3,10,85789.7012195122,2386.8,3173.0,0,4,1260.0,3,74000.0,2,8,5,113,4,151300,1.0,2016,5,2,2016,3,21
54991086,0,0,0,0,4,10,106700.0,104354.4,98609.0,1,4,1289.0,1,143000.0,2,8,5,70,5,60091,1.0,2016,5,1,2016,4,17
59004333,0,0,0,0,5,10,79200.0,80415.6,69991.0,0,4,1300.0,1,157000.0,2,8,5,113,3,151300,158.11388300000002,2016,5,1,2016,4,26
59003358,0,0,0,0,4,10,49500.0,33427.2,40557.0,0,4,1286.1657435613404,2,57000.0,2,8,-1,100,3,72000,194.1829035,2016,5,1,2016,4,15
59002037,0,0,0,0,3,10,44000.0,16880.4,14566.0,1,4,1292.0,1,115000.0,2,8,5,114,5,350060,192.3538406,2016,5,1,2016,2,25
58988287,0,0,0,0,1,10,85789.7012195122,6175.2,5646.0,0,5,1307.0,1,39000.0,2,15,9,114,4,450016,160.44625269999997,2016,4,26,2013,6,17
59005841,0,0,0,0,2,10,85789.7012195122,0.0,219202.72592781534,0,4,1308.0,1,123000.0,2,8,5,84,3,151300,173.20508080000002,2016,4,24,2013,6,17
58995703,0,0,0,0,1,10,85789.7012195122,253.2,711.0,1,7,1286.1657435613404,3,75000.0,2,11,9,100,5,450018,353.55339060000006,2016,4,21,2013,6,17
58996591,0,0,0,0,2,10,88000.0,2805.6,5826.0,0,7,1320.0,1,123000.0,2,11,5,113,4,60091,1.0,2016,4,17,2016,5,20
59003325,0,0,0,0,1,10,64900.0,888.0,1240.0,1,4,1325.0,1,126000.0,2,8,9,106,5,71003,1.0,2016,4,17,2013,6,17
59003249,0,0,0,0,1,10,46200.0,4102.8,3918.0,0,4,1270.0,3,113000.0,2,8,5,110,5,60091,212.1320344,2016,4,17,2013,6,17
58997200,0,0,0,0,2,2,85789.7012195122,4437040.8,4225500.0,0,7,1376.0,1,150000.0,2,11,-1,110,4,60000,219.2487172,2016,4,17,2013,6,17
59003959,0,0,0,0,1,10,85789.7012195122,0.0,219202.72592781534,0,4,1286.1657435613404,2,57000.0,2,8,5,107,5,151300,194.9358869,2016,4,17,2013,6,17
54988522,0,0,0,0,1,10,66000.0,682.8,1068.0,1,7,1214.0,3,58000.0,2,11,5,110,4,151300,158.11388300000002,2016,4,16,2013,6,17
54984435,0,0,0,0,1,10,27500.0,496.8,219202.72592781534,0,5,1248.0,1,286000.0,2,15,-1,112,4,450094,173.20508080000002,2016,4,16,2013,6,17
58994986,0,0,0,0,1,10,85789.7012195122,0.0,219202.72592781534,0,7,1298.0,1,128000.0,2,11,5,92,5,151300,173.20508080000002,2016,4,16,2013,6,17
54991108,0,0,0,0,1,10,85789.7012195122,0.0,219202.72592781534,1,4,1270.0,1,210000.0,2,8,-1,84,3,330012,1.0,2016,4,16,2013,6,17
58987886,0,0,0,0,2,0,85789.7012195122,66806.4,55500.0,0,5,1270.0,1,175000.0,2,15,5,110,5,350057,173.20508080000002,2016,4,16,2016,5,18
58994712,0,0,0,0,1,10,101200.0,14290.8,12408.0,0,7,1288.0,1,135000.0,2,11,5,109,4,72000,1.0,2016,4,14,2013,6,17
58997200,0,0,0,0,2,5,85789.7012195122,863940.0,718201.0,0,7,1376.0,1,150000.0,2,11,-1,110,4,60000,219.2487172,2016,4,13,2016,4,19
58997200,0,0,0,0,2,0,85789.7012195122,636720.0,531100.0,0,7,1376.0,1,150000.0,2,11,-1,110,4,60000,219.2487172,2016,4,13,2013,6,17
58995842,0,0,0,0,1,10,42900.0,682.8,1068.0,1,7,1302.0,1,92000.0,2,11,-1,105,4,60075,212.1320344,2016,4,5,2013,6,17
59004141,0,0,0,0,1,10,85789.7012195122,0.0,219202.72592781534,0,4,1316.0,1,127000.0,2,8,-1,95,5,330013,1.0,2016,4,5,2013,6,17
58997183,0,0,0,0,1,6,85789.7012195122,30109.2,26500.0,1,7,1272.0,1,50000.0,1,11,-1,107,3,60085,1.0,2016,4,4,2016,6,5
58995594,0,0,0,0,2,19,85789.7012195122,1430811.6,1207032.0,0,7,1254.0,3,97000.0,2,11,5,83,3,60017,282.8427125,2016,4,4,2013,6,17
54991827,0,0,0,0,3,10,60500.0,24163.2,24036.0,0,4,1343.0,1,128000.0,2,8,-1,107,5,361022,1.0,2016,4,3,2016,4,24
54987381,0,0,0,0,1,10,55000.0,2302.8,3719.0,0,7,1214.0,3,58000.0,2,11,5,112,3,450080,145.6021978,2016,4,3,2016,3,20
58987886,0,0,0,0,3,10,85789.7012195122,-6.0,1515.0,0,5,1270.0,1,175000.0,2,15,5,110,5,350057,173.20508080000002,2016,4,3,2016,4,24
58987512,0,0,0,0,1,5,85789.7012195122,240000.0,200500.0,0,5,1302.0,3,211000.0,2,15,5,87,3,72000,1.0,2016,4,3,2013,6,17
58987931,0,0,0,0,3,6,85789.7012195122,46923.6,49379.0,0,5,1312.0,1,215000.0,2,15,5,110,3,350020,219.089023,2016,4,2,2016,3,20
58987232,0,0,0,0,5,10,118800.0,145.2,1068.0,0,5,1286.1657435613404,3,71000.0,2,15,-1,90,4,450000,158.11388300000002,2016,4,1,2016,8,3
59005490,0,0,0,0,5,10,93500.0,-1.2,85473.0,0,4,1288.0,1,110000.0,2,8,5,89,5,72049,190.9345438,2016,4,1,2016,12,2
58996172,0,0,0,0,3,10,85789.7012195122,80880.0,67900.0,1,7,1294.0,1,87000.0,2,11,5,113,3,450080,170.2468796,2016,4,1,2016,4,18
59001195,0,0,0,0,2,1,85789.7012195122,724740.0,470500.0,0,4,1312.0,3,147000.0,2,8,5,98,4,72000,187.08286930000003,2016,4,1,2013,6,17
58988263,0,0,0,0,3,10,82500.0,0.0,44452.0,0,5,1316.0,1,202000.0,2,15,5,105,5,450054,223.6067977,2016,3,30,2016,12,6
58987200,0,0,0,0,1,10,85789.7012195122,3248.4,3207.0,1,5,1286.1657435613404,2,126000.0,2,15,9,83,5,450058,176.0681686,2016,3,29,2013,6,17
59004680,0,0,0,0,2,10,201300.0,2649.6,10223.0,0,4,1370.0,1,273000.0,2,8,9,110,5,60015,1.0,2016,3,28,2016,5,14
58995283,0,0,0,0,1,10,85789.7012195122,0.0,219202.72592781534,0,7,1229.0,1,170000.0,1,11,5,91,3,550115,244.94897430000003,2016,3,28,2013,6,17
58994781,0,0,0,0,1,5,85789.7012195122,350953.2,290500.0,0,7,1288.0,3,133000.0,2,11,5,91,3,151300,1.0,2016,3,28,2013,6,17
59002087,0,0,0,0,1,10,105600.0,7202.4,6501.0,0,4,1288.0,3,127000.0,2,8,5,111,3,60059,200.0,2016,3,27,2013,6,17
54984634,0,0,0,0,1,10,48400.0,56890.8,47908.0,1,5,1286.1657435613404,3,111000.0,2,15,5,99,3,350075,164.3167673,2016,3,27,2013,6,17
59002775,0,0,0,0,1,10,189200.0,6838.8,6198.0,0,4,1301.0,3,144000.0,2,8,9,113,4,60001,212.1320344,2016,3,26,2013,6,17
58994224,0,0,0,0,1,10,129800.0,124102.8,103918.0,0,7,1274.0,1,328000.0,2,11,-1,82,5,450000,244.94897430000003,2016,3,26,2013,6,17
59004235,0,0,0,0,1,6,85789.7012195122,24000.0,20500.0,1,4,1286.1657435613404,2,150000.0,2,8,5,100,3,60018,244.7549795,2016,3,26,2013,6,17
58996127,0,0,0,0,2,6,85789.7012195122,16800.0,24500.0,0,7,1266.0,1,165000.0,2,11,5,111,3,60084,1.0,2016,3,26,2016,4,22
59004235,0,0,0,0,1,6,85789.7012195122,14400.0,18500.0,1,4,1286.1657435613404,2,150000.0,2,8,5,100,3,60018,244.7549795,2016,3,26,2013,6,17
58992711,0,0,0,0,1,10,110000.0,4102.8,3918.0,0,7,1306.0,3,84000.0,2,11,5,112,4,151306,173.20508080000002,2016,3,25,2013,6,17
58987375,0,0,0,0,1,10,16500.0,493.2,911.0,0,5,1230.0,3,58000.0,2,15,-1,92,3,340020,122.4744871,2016,3,23,2013,6,17
54991108,0,0,0,0,1,6,85789.7012195122,62388.0,52490.0,1,4,1270.0,1,210000.0,2,8,-1,84,3,330012,1.0,2016,3,23,2013,6,17
58995381,0,0,0,0,1,5,85789.7012195122,180000.0,150500.0,0,7,1220.0,3,76000.0,2,11,2,90,5,71002,1.0,2016,3,22,2013,6,17
